week,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
1980-11-17/1980-11-23,24.60238095238095,59.404761904761905,15.505357142857141,0.9000000000000001,0.9000000000000001,0,1013.5172619047619,948.3321428571428,24.351190476190474,3.3154761904761907,23.113095238095237,24.964285714285715,1.3755357142857143,6.630357142857143,90
1980-11-24/1980-11-30,22.60238095238095,44.023809523809526,8.588690476190475,0.0,0.0,0,1014.7964285714286,949.1005952380953,0.9940476190476192,0.0,1.6428571428571428,0.0,1.7185714285714284,6.28452380952381,90
1980-12-01/1980-12-07,22.13452380952381,44.56547619047619,8.729761904761904,0.0,0.0,0,1013.7744047619047,948.0416666666667,6.833333333333333,0.0,1.8214285714285714,19.184523809523807,1.6267261904761905,8.027380952380954,87
1980-12-08/1980-12-14,21.03154761904762,45.70238095238095,7.8863095238095235,0.0,0.0,0,1014.7690476190476,948.7357142857143,0.8988095238095238,0.011904761904761887,0.22023809523809526,2.494047619047619,1.5285714285714287,7.753571428571428,31
1980-12-15/1980-12-21,20.773214285714285,38.839285714285715,4.663095238095238,0.3,0.3,0,1013.9154761904763,947.8726190476191,10.321428571428571,0.06547619047619048,3.8333333333333326,26.494047619047617,1.734047619047619,6.985714285714286,90
1980-12-22/1980-12-28,17.555357142857144,73.00595238095238,12.020833333333332,11.799999999999999,11.799999999999999,0,1013.9392857142857,947.207738095238,32.488095238095234,26.767857142857142,16.363095238095237,6.720238095238094,0.6355357142857143,8.325595238095238,43
1980-12-29/1981-01-04,21.064880952380953,58.035714285714285,11.472619047619048,0.0,0.0,0,1015.822619047619,949.7315476190475,18.863095238095237,11.589285714285714,11.922619047619047,4.232142857142856,1.1902380952380953,8.470833333333333,42
1981-01-05/1981-01-11,18.639285714285712,51.767857142857146,7.454761904761904,0.0,0.0,0,1015.905357142857,949.282142857143,11.29761904761905,5.660714285714286,10.333333333333332,0.0,1.138809523809524,9.43452380952381,5
1981-01-12/1981-01-18,18.511309523809523,54.517857142857146,8.401785714285714,2.4,2.4,0,1018.0910714285716,951.2946428571429,11.81547619047619,4.708333333333334,12.482142857142858,0.10119047619047619,1.0761904761904761,10.031547619047618,92
1981-01-19/1981-01-25,19.052380952380954,62.773809523809526,10.676785714285714,1.0,1.0,0,1014.8267857142856,948.3625000000001,11.875,12.226190476190476,1.4107142857142858,0.047619047619047616,0.9773809523809524,8.58095238095238,83
1981-01-26/1981-02-01,20.925595238095237,45.154761904761905,7.3374999999999995,0.0,0.0,0,1016.5291666666666,950.3529761904762,0.42261904761904756,0.005952380952380943,0.0,1.351190476190476,1.5513095238095238,7.993452380952381,76
1981-02-02/1981-02-08,21.801190476190477,40.95238095238095,6.542261904761905,0.0,0.0,0,1015.2886904761905,949.3833333333333,0.4523809523809524,0.0,0.738095238095238,0.0,1.744404761904762,7.455952380952381,93
1981-02-09/1981-02-15,20.748214285714283,39.93452380952381,4.023214285714286,0.0,0.0,0,1013.3761904761905,947.3672619047619,0.9047619047619049,0.7321428571428571,0.0,0.7678571428571429,1.709107142857143,7.952976190476191,45
1981-02-16/1981-02-22,25.28928571428571,40.339285714285715,9.683928571428572,0.0,0.0,0,1013.3,948.2607142857142,16.922619047619047,0.0,16.791666666666664,22.767857142857142,2.1469642857142857,7.4071428571428575,5
1981-02-23/1981-03-01,25.569047619047616,36.714285714285715,8.400595238095239,0.0,0.0,0,1014.8321428571428,949.7577380952381,4.041666666666666,0.0,6.172619047619048,1.101190476190476,2.2982738095238093,7.813690476190476,4
1981-03-02/1981-03-08,26.479166666666664,27.839285714285715,4.940476190476191,0.0,0.0,0,1015.7880952380953,950.842857142857,11.93452380952381,0.0,3.4047619047619047,32.92261904761905,2.7094047619047616,9.482142857142858,88
1981-03-09/1981-03-15,24.845238095238095,38.99404761904761,8.367261904761905,0.0,0.0,0,1014.2476190476191,949.0595238095239,12.244047619047617,0.005952380952380943,10.20833333333333,20.404761904761905,2.13297619047619,8.697619047619048,11
1981-03-16/1981-03-22,24.117261904761904,47.75595238095239,10.579166666666667,0.2,0.2,0,1011.1928571428572,946.0470238095238,14.279761904761903,0.7202380952380951,10.035714285714286,25.273809523809522,1.808690476190476,8.78452380952381,16
1981-03-23/1981-03-29,26.454761904761902,36.797619047619044,8.0625,0.0,0.0,0,1009.5011904761905,944.942261904762,0.45833333333333337,0.0,0.10714285714285714,1.2857142857142858,2.4810119047619046,8.05297619047619,7
