date,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
2000-02-08,19.3625,44.916666666666664,6.3500000000000005,0.0,0.0,0,1011.875,945.6750000000001,4.708333333333333,0.0,0.0,15.541666666666666,1.3708333333333333,6.579166666666667,336
2000-02-09,19.95,47.958333333333336,7.691666666666666,0.0,0.0,0,1012.4333333333334,946.3208333333333,0.0,0.0,0.0,0.0,1.3783333333333332,6.870833333333334,90
2000-02-10,20.470833333333335,54.333333333333336,9.595833333333333,0.0,0.0,0,1012.3208333333333,946.3166666666666,3.125,3.4583333333333335,0.0,0.0,1.3229166666666667,9.3125,263
2000-02-11,18.1875,62.875,9.7125,0.0,0.0,0,1012.9541666666668,946.4208333333332,14.791666666666666,16.416666666666668,0.0,0.0,0.9266666666666667,10.0375,286
2000-02-12,18.308333333333334,48.375,6.204166666666667,0.0,0.0,0,1013.1333333333333,946.6208333333334,0.0,0.0,0.0,0.0,1.2125000000000001,5.0375000000000005,51
2000-02-13,19.620833333333334,42.333333333333336,5.958333333333333,0.0,0.0,0,1012.2833333333333,946.1125000000001,3.25,1.0833333333333333,3.5833333333333335,0.0,1.4266666666666667,9.420833333333333,83
2000-02-14,20.783333333333335,48.916666666666664,9.416666666666666,0.0,0.0,0,1013.3708333333334,947.3791666666666,3.875,1.1666666666666667,4.583333333333333,0.0,1.3345833333333335,14.816666666666668,84
2000-02-15,22.245833333333334,59.958333333333336,13.695833333333333,0.0,0.0,0,1012.9666666666667,947.3166666666666,22.291666666666668,5.625,28.541666666666668,0.20833333333333334,1.16875,8.6,88
2000-02-16,22.454166666666666,47.916666666666664,9.570833333333333,0.0,0.0,0,1012.6458333333334,947.0541666666667,3.4583333333333335,0.5416666666666666,1.25,7.458333333333333,1.6145833333333333,8.204166666666667,90
2000-02-17,21.083333333333332,31.375,2.1125000000000003,0.0,0.0,0,1011.5041666666666,945.7041666666668,0.875,0.0,0.0,2.9166666666666665,1.8825,7.820833333333333,353
2000-02-18,20.116666666666667,36.833333333333336,3.0749999999999997,0.0,0.0,0,1011.0083333333333,945.0291666666667,0.0,0.0,0.0,0.0,1.7045833333333331,6.383333333333333,90
2000-02-19,20.349999999999998,49.041666666666664,6.945833333333334,0.0,0.0,0,1009.9,944.0208333333334,0.0,0.0,0.0,0.0,1.5008333333333335,7.583333333333333,80
2000-02-20,18.379166666666666,65.375,10.2125,0.0,0.0,0,1009.6416666666668,943.3708333333334,3.25,3.625,0.0,0.0,0.9370833333333333,8.5375,264
2000-02-21,20.366666666666667,54.25,8.983333333333333,0.0,0.0,0,1010.8000000000001,944.8708333333334,13.958333333333334,14.833333333333334,1.0833333333333333,0.0,1.31,4.616666666666666,16
